	cluster	degree
Atp8b3	1	71
Atp9a	0	1298
Atp9b	0	216
Atpaf1	0	253
Atpaf2	4	140
Atpsckmt	3	3004
Atr	3	2175
Atrip	2	1001
Atrn	2	529
Atrnl1	0	1493
Atrx	2	463
Atxn1	0	1085
Atxn10	4	1023
Atxn1l	2	1424
Atxn2	2	244
Atxn2l	2	613
Atxn3	2	33
AABR07002848.1	2	8
Arrdc4	0	6
Atxn7	2	1500
Atxn7l1	0	1362
Atxn7l2	0	117
Atxn7l3	0	1418
Atxn7l3b	0	434
AU040320	2	2442
Auh	3	2244
Aunip	5	20
Aup1	3	2574
Aurka	2	74
Aurkaip1	3	1046
Aurkc	2	245
Auts2l1	2	212
Avl9	1	201
Avp	3	1003
Avpi1	4	103
Avpr1b	3	1841
AW146154	1	248
Axin1	2	2981
Axin2	2	299
Axl	1	128
Azi2	2	266
Azin1	2	1512
Azin2	3	748
B2m	1	143
AC112568.1	1	52
B3galnt1	4	273
B3galnt2	1	1519
B3galt1	0	1570
B3galt2	0	105
B3galt5	1	1685
B3galt6	2	788
B3gat1	0	1496
B3gat2	4	6
B3gat3	0	387
B3glct	0	1295
B3gnt2	0	520
B3gnt4	3	2714
B3gnt5	3	2122
B3gnt7	3	1209
B3gnt9	1	53
B3gntl1	1	58
B4galnt1	0	1146
B4galnt4	0	1524
B4galt1	1	142
B4galt2	0	1312
B4galt3	0	303
B4galt4	3	396
B4galt5	4	532
B4galt6	0	650
B4galt7	4	319
B4gat1	4	940
B630019K06Rik	1	1259
B9d2	4	148
Baalc	0	1423
Babam1	4	1232
Babam2	2	451
Bace1	4	860
Bace2	1	46
Bach1	1	2677
Bach2	5	45
Bad	4	59
